our_code,our_label,status_ours,ziel_ours,status_excel_row,status_col,status_scale,status_excel_label,ziel_excel_row,ziel_col,ziel_scale,ziel_excel_label,confidence
2.6,Bedarfsniveau (Sanierung/ Anwendungseff.),799186.5468,672097.5515791969,,,,,880,W,0.0001,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,MED
2.7,davon Brennstoffe,79.2,0.0,,,,,,,,,LOW
2.7.0,= Endenergieverbrauch,632955.7450656,0.0,,,,,,,,,LOW
2.7.1,> Nutzungsgrad Endanwendung,86.0,88.0,858,W,1,- STATUS-Ansatz: 86 % durchschnittlicher Nutzungsg,858,W,1,- STATUS-Ansatz: 86 % durchschnittlicher Nutzungsg,HIGH
2.7.2,> Wandlungsverluste Endanwendung,11.088000000000001,0.0,,,,,,,,,LOW
2.7.3,= Einsparung gegenüber Status (relativ),0.0,11.088000000000001,,,,,270,W,1000,"- ZIEL-Ansatz: Kein weiterer Ausbau, Beibehaltung ",MED
2.7.4,= Einsparung gegenüber Status (absolut),0.0,0.0,,,,,,,,,ZERO
2.8,davon Wärme (30-100°C/verlustarm nutzbar),16.7,79.47464129801271,,,,,642,W,1,Wasserstoff-Rückverstromungs-Wirkungsgrade gemäß L,MED
2.8.0,= Endenergieverbrauch,133464.15331559998,534147.1182902928,,,,,,,,,LOW
2.9,davon Strom (verlustarm nutzb.),4.099999999999994,20.525358701987287,,,,,,,,,LOW
2.9.0,= Endenergieverbrauch,32766.648418799956,137950.4332889042,,,,,,,,,LOW
2.9.1,davon für Wärmepumpen,30.8484403739032,100.0,273,W,1,"- STATUS-Ansatz: 29,9 MWh/ha/a [274], wobei dieser",764,W,1,- ZIEL-Ansatz: Abweichend von der BMU-Leitstudie [,HIGH
2.9.2,=,10108.0,137950.4332889042,,,,,,,,,LOW
2.10,Endenergieverbrauch GW gesamt,799186.5467999999,672097.5515791969,761,W,0.001,Zieleinfluss Erwerbstätigkeit auf GW,64,W,0.0001,Bodenfläche gesamt,HIGH
3.0,Bedarfsniveau (statisch),555395.0,555395.0,,,,,,,,,LOW
3.1,davon Haushalte,8.7164,8.7164,826,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,826,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,HIGH
3.1.0,=,48410.44978,48410.44978,,,,,,,,,LOW
3.1.1,Zieleinfluss Endanwendungs-Effizienz,100.0,95.0,,,,,836,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,MED
3.1.2,=,48410.44978,45989.927291,,,,,,,,,LOW
3.2,dav.Industrie + Gewerbeant.GHD,91.2835,91.2835,846,W,1,"- ZIEL-Ansatz: 89 % resultieren aus der ""Grundsatz",846,W,1,"- ZIEL-Ansatz: 89 % resultieren aus der ""Grundsatz",HIGH
3.2.0,=,506983.994825,506983.994825,,,,,,,,,LOW
3.2.1,Zieleinfluss Materialdurchsatz/Pers.,100.0,100.0,,,,,,,,,LOW
3.2.2,Zieleinfluss Prozess-Effizienz,100.0,89.00004,,,,,770,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,MED
3.2.3,=,506983.994825,451215.958187848,,,,,,,,,LOW
3.3,"Bedarfsniveau (Prod.-Vol., Proz.-Effiz.)",555394.444605,497205.885478848,,,,,,,,,LOW
3.4,davon Brennstoffe,60.3,26.69623513695287,,,,,855,W,1,- ZIEL-Ansatz: Aufgrund folgender Überlegung: Die ,MED
3.4.0,= Endenergieverbrauch,334902.850096815,132735.25230220184,713,W,0.0001,- STATUS-Ansatz: Endenergieverbrauch der elektrisc,,,,,MED
3.4.1,> Nutzungsgrad Endanwendung,86.0,88.0,858,W,1,- STATUS-Ansatz: 86 % durchschnittlicher Nutzungsg,858,W,1,- STATUS-Ansatz: 86 % durchschnittlicher Nutzungsg,HIGH
3.4.2,> Wandlungsverluste Endanwendung,8.442,3.203548216434344,,,,,,,,,LOW
3.4.3,= Einsparung gegenüber Status (relativ),0.0,5.238451783565656,,,,,667,W,1,- STATUS-Ansatz: Die Netzverluste in Deutschland i,MED
3.4.4,= Einsparung gegenüber Status (absolut),0.0,6953.272191645067,,,,,241,W,0.0001,"- ZIEL-Ansatz: Der Status-Ansatz wird übernommen, ",MED
3.5,"davon Wärme (>100°C,verlustarm nutzbar)",25.9,0.0,403,AG,1,- STATUS-Ansatz: Lediglich 25 % von 11.219 GWh zu ,,,,,MED
3.5.0,= Endenergieverbrauch,143847.161152695,0.0,,,,,,,,,LOW
3.6,davon Strom (verlustarm nutzbar),12.895500000000004,71.90529545737054,2068,W,1,"Im Jahr 2017 waren in der Zielregion  12,9% der La",,,,,MED
3.6.0,= Endenergieverbrauch,71620.89060403779,357517.3609850011,946,W,0.0001,- STATUS-Ansatz: Bei einem Endenergieverbrauch des,713,W,0.0001,- STATUS-Ansatz: Endenergieverbrauch der elektrisc,HIGH
3.7,Endenergieverbrauch PW gesamt,550370.9018535478,490252.6132872029,,,,,729,W,0.0001,- STATUS-Ansatz: Endenergieverbrauch der elektrisc,MED
3.2.1.5,=,506983.994825,506983.994825,,,,,,,,,LOW
4.0,Mobile Anwendungen (MA),,,,,,,,,,,ZERO
4.1,"MA am Boden (Straße, Schiene, Schifffahrt, Maschinen)",100.0,100.0,428,W,1,- ZIEL-Ansatz: Wegen der verlustarmen Bereitstellu,428,W,1,- ZIEL-Ansatz: Wegen der verlustarmen Bereitstellu,HIGH
4.1.0,Bedarfsniveau (statisch),639193.0,639193.0,,,,,,,,,LOW
4.1.1,davon Personenverkehr (PVk),67.4,67.4,,,,,,,,,LOW
4.1.1.1,Zieleinfluss Pers.-Verkehrsleist./Pers.,100.0,100.0,,,,,,,,,LOW
4.1.1.2,Bedarfsniveau PVk (nach Entwicklung),430816.08200000005,430816.08200000005,37,W,0.0001,Energieverbraucher (nach Verursacher-Prinzip),37,W,0.0001,Energieverbraucher (nach Verursacher-Prinzip),HIGH
4.1.1.3,Nutzungsgrad Traktionsmix,27.075,62.6736,,,,,608,W,1,- ZIEL-Ansatz: Der Nutzungsgrad ist stark abhängig,MED
4.1.1.5,Anteil Elektrotraktion an PvK-Leistung,8.6,86.0,2031,W,1,"An Offshore-Windleistung waren Im 2023 breits 8,33",2035,W,1,"Windenergie-auf-See-Gesetz: ""Ziel dieses Gesetzes ",HIGH
4.1.1.6,Anteil Elektrotraktion an Endverbr. PVk,3.0,69.1,386,AG,10000,4.500 GWh  Stromerzeugung aus Biogas entfallen im ,901,W,1,- ZIEL-Ansatz: Resultiert aus dem Abgleich nach de,HIGH
4.1.1.7,Nutzungsgrad Elektrotraktion (NG e),78.0,78.0,,,,,,,,,LOW
4.1.1.8,Anteil NE Elektrotrakt.an Endverbr. PVk,2.34,53.897999999999996,585,W,1000,- STATUS-Ansatz: Der Bedarf an Kohlenwasserstoffen,393,AN,1,1.732 GWh Stromerzeugung aus Deponie- und Klärgase,HIGH
4.1.1.9,Anteil NE Elektrotrakt.an NE ges.PVk,8.642659279778393,85.99793214367772,2031,W,1,"An Offshore-Windleistung waren Im 2023 breits 8,33",892,W,1,- ZIEL-Ansatz: 86 % Batterieelektrisch erbrachte V,HIGH
4.1.1.10,Stromverbrauch PVk,12924.48246,128603.79306954842,,,,,,,,,LOW
4.1.1.11,Anteil Verbrenn.Trakt.an Endverbr.PVk,97.0,30.900000000000006,725,W,1,- ZIEL-Ansatz: Orientiert an dem Ansatz für privat,462,AG,1,24.973 GWh  Verbrauch an Biodiesel (24.942 GWh ) i,HIGH
4.1.1.12,Nutzungsgrad Verbrenn.Traktion (NG k),25.5,28.4,,,,,,,,,LOW
4.1.1.13,Anteil NE Verbrenn.Trakt.an Endverbr.PVk,24.735,8.775600000000003,417,W,1,- ZIEL-Ansatz: Leichte Erhöhung gegenüber dem Stat,2031,W,1,"An Offshore-Windleistung waren Im 2023 breits 8,33",HIGH
4.1.1.14,Anteil NE Verbrenn.Trakt.an NE ges.PVk,91.3573407202216,14.002067856322284,725,W,1,- ZIEL-Ansatz: Orientiert an dem Ansatz für privat,,,,,MED
4.1.1.15,Kohlenwasserstoff-Verbr.(gasf.) PVk,417891.59954,57508.78734947971,,,,,,,,,LOW
4.1.1.16,Anteil FC-Trakt.an Endverbr.PVk,0.0,0.0,,,,,,,,,ZERO
4.1.1.17,Nutzungsgrad FC-Traktion (NG FC),35.0,35.0,342,W,1,- ZIEL-Ansatz: 35 % el. gemäß des maximal für heut,342,W,1,- ZIEL-Ansatz: 35 % el. gemäß des maximal für heut,HIGH
4.1.1.18,Anteil NE FC-Trakt.an Endverbr.PVk,0.0,0.0,,,,,,,,,ZERO
4.1.1.19,Anteil NE FC-Trakt.an NE ges.PVk,0.0,0.0,,,,,,,,,ZERO
4.1.1.20,Wasserstoffverbrauch PVk,0.0,0.0,,,,,,,,,ZERO
4.1.2,davon Güterverkehr u. a. (GVk),32.599999999999994,32.599999999999994,,,,,,,,,LOW
4.1.2.1,Zieleinfluss Güterverk.-Leistung/Pers.,100.0,100.0,,,,,,,,,LOW
4.1.2.2,Bedarfsniveau GVk (nach Entwicklung),208376.91799999998,208376.91799999998,127,W,1,Im Datenteil der Agora-Studie [9.19] sind 36 Milli,127,W,1,Im Datenteil der Agora-Studie [9.19] sind 36 Milli,HIGH
4.1.2.3,Nutzungsgrad Traktionsmix,30.723,62.145100000000006,,,,,608,W,1,- ZIEL-Ansatz: Der Nutzungsgrad ist stark abhängig,MED
4.1.2.5,Anteil Elektrotraktion an GVk-Leistung,18.6,84.0,466,AG,1,Ein Anteil von 11804 GWh  am Biodiesel bzw. Pflanz,2035,W,1,"Windenergie-auf-See-Gesetz: ""Ziel dieses Gesetzes ",HIGH
4.1.2.6,Anteil Elektrotraktion an Endverbr. GVk,7.3,66.9,219,W,10000,- ZIEL-Ansatz: 70.000 MW entsprechend der Zielsetz,901,W,1,- ZIEL-Ansatz: Resultiert aus dem Abgleich nach de,HIGH
4.1.2.7,Nutzungsgrad Elektrotraktion (NG e),78.0,78.0,,,,,,,,,LOW
4.1.2.8,Anteil NE Elektrotrakt.an Endverbr. GVk,5.694,52.18200000000001,,,,,393,AN,1,1.732 GWh Stromerzeugung aus Deponie- und Klärgase,MED
4.1.2.9,Anteil NE Elektrotrakt.an NE ges.GVk,18.533346352895226,83.96800391342198,466,AG,1,Ein Anteil von 11804 GWh  am Biodiesel bzw. Pflanz,892,W,1,- ZIEL-Ansatz: 86 % Batterieelektrisch erbrachte V,HIGH
4.1.2.10,Stromverbrauch GVk,15211.515014,68917.96699332153,,,,,,,,,LOW
4.1.2.11,Anteil Verbrenn.-Trakt.an Endverbr.GVk,92.7,33.099999999999994,725,W,1,- ZIEL-Ansatz: Orientiert an dem Ansatz für privat,252,W,1,- ZIEL-Ansatz: Das Potenzial an Energieholz direkt,HIGH
4.1.2.12,Nutzungsgrad Verbrenn.-Traktion (NG k),27.0,30.1,,,,,,,,,LOW
4.1.2.13,Anteil NE Verbrenn-Trakt.an Endverbr.GVk,25.029,9.963099999999999,417,W,1,- ZIEL-Ansatz: Leichte Erhöhung gegenüber dem Stat,580,AG,1,- ZIEL-Ansatz: Die Szenarien für eine treibhausgas,HIGH
4.1.2.14,Anteil NE Verbrenn.Trakt.an NE ges.GVk,81.46665364710478,16.03199608657802,940,W,1,- ZIEL-Ansatz: 84 % Elektrisch mit LKW und Bahn er,,,,,MED
4.1.2.15,Kohlenwasserstoff-Verbr.(gasf.) GVk,193165.40298599997,34098.42612076146,,,,,,,,,LOW
4.1.2.16,Anteil FC-Trakt.an Endverbr.GVk,0.0,0.0,,,,,,,,,ZERO
4.1.2.17,Nutzungsgrad FC-Traktion (NG FC),35.0,35.0,342,W,1,- ZIEL-Ansatz: 35 % el. gemäß des maximal für heut,342,W,1,- ZIEL-Ansatz: 35 % el. gemäß des maximal für heut,HIGH
4.1.2.18,Anteil NE FC-Trakt.an Endverbr.GVk,0.0,0.0,,,,,,,,,ZERO
4.1.2.19,Anteil NE FC-Trakt.an NE ges.GVk,0.0,0.0,,,,,,,,,ZERO
4.1.2.20,Wasserstoffverbrauch GVk,0.0,0.0,,,,,,,,,ZERO
4.1.1.4.0,Nutzenergie (NE) gesamt PVk,116643.4542015,0.0,,,,,,,,,LOW
4.1.1.4.1,Nutzenergie (NE) gesamt PVk,0.0,116643.4542015,,,,,,,,,LOW
4.1.2.4.0,Nutzenergie (NE) gesamt GVk,64019.64051714,0.0,64,W,0.001,Bodenfläche gesamt,,,,,MED
4.1.2.4.1,Nutzenergie (NE) gesamt GVk,0.0,64019.64051714,,,,,64,W,0.001,Bodenfläche gesamt,MED
4.1.1.15.1,Alternativ zur Verbrennungsmotoren: Brennstoffzellen (FC) -T,,,,,,,,,,,ZERO
4.1.2.15.1,Alternativ zur Kraftstofftraktion: Brennstoffzellen (FC) -Tr,,,,,,,,,,,ZERO
5.0,Bedarfsniveau (statisch),114520.0,114520.0,,,,,,,,,LOW
5.1,Zieleinfluss Luftverk.-Leistung/Person,100.0,100.0,839,W,1,- STATUS-Ansatz: Repräsentiert den Status des spez,839,W,1,- STATUS-Ansatz: Repräsentiert den Status des spez,HIGH
5.2,Bedarfsniv. Luftverk. (nach Entwicklung),114520.0,114520.0,127,AN,0.0001,Im Datenteil der Agora-Studie [9.19] sind 36 Milli,127,AN,0.0001,Im Datenteil der Agora-Studie [9.19] sind 36 Milli,HIGH
5.2.1,Zieleinfluss Luftverkehrs-Effizienz,100.0,87.0,971,W,1,- ZIEL-Ansatz: Die weitere Entwicklung des Luftver,770,W,1,- ZIEL-Ansatz: Dient als Berechnungsgrundlage für ,HIGH
5.2.2,Kraftstoffverbrauch (flüssig) Luftverkehr,114520.0,99632.4,,,,,,,,,LOW
6.0,Endenergieverbrauch MA gesamt,753713.0,388761.3735331111,907,W,0.0001,- STATUS-Ansatz: Repräsentiert den Status Quo des ,637,W,0.0001,- ZIEL-Ansatz: Ein Gesamt-Jahresnutzungsgrad der S,HIGH
6.1,davon Kraftstoffe,725577.002526,191239.61347024117,,,,,,,,,LOW
6.1.1,davon Wasserstoff (FC-Traktion),0.0,0.0,,,,,,,,,ZERO
6.1.2,davon Kohlenwassserst.(gasförmig),611057.002526,91607.21347024117,,,,,669,W,0.0001,"- ZIEL-Ansatz: 9,2 %. Die künftige Netzstruktur un",MED
6.1.3,"dav.Kohlenwasserst. (flüssig, für Luftverk.)",114520.0,99632.4,127,AN,0.0001,Im Datenteil der Agora-Studie [9.19] sind 36 Milli,603,W,1,- ZIEL-Ansatz: Die Substitution der fossilen Kraft,HIGH
6.2,davon Strom,28135.997474,197521.76006286996,,,,,657,W,1,- ZIEL-Ansatz: Aufgrund der begrenzten Kapazität d,MED
7,Strom-Endverbrauch insgesamt,461869.2220968377,1005742.8543367754,,,,,638,W,0.0001,Die Nennleistung der Wasser-Elektrolyse wird hier ,MED
8,Endenergieverbrauch insgesamt,2432616.134253548,1863864.838399511,,,,,520,AN,0.001,- STATUS-Ansatz: Der jährliche Stromverbrauch der ,MED
9,Grundstoff-Synthetisierung,,,,,,,,,,,ZERO
9.1,Bedarfsniveau Grundstoffe (statisch),2337.0,2337.0,,,,,,,,,LOW
9.1.1,* Zieleinfluss Kunststofferzeugung/Pers.,100.0,53.0,,,,,,,,,LOW
9.1.2,= Bedarf an Grundstoffen,197841.0,104855.0,657,W,1,- ZIEL-Ansatz: Aufgrund der begrenzten Kapazität d,103,W,0.001,Anteil an deutscher Waldfläche,HIGH
9.1.3,* Anteil aus H2 synthetisierter Grundstoffe,0.0,73.0,,,,,984,W,1,- ZIEL-Ansatz: Der Ansatz von 73 % Anteil Wind-/So,MED
9.1.4,= Bedarf an synthetischen Grundstoffen,0.0,76544.15,,,,,984,W,0.001,- ZIEL-Ansatz: Der Ansatz von 73 % Anteil Wind-/So,MED
10,fossil,50.0,60.0,,,,,,,,,LOW
